Code;Description
CAB00463;Composer
CAB00464;Compositor
CAB00465;Compounder
CAC02681;Computer Analyst
CAC02682;Computer Company Technical Support Manager
OC3513;Computer network and systems technician
OC2523;Computer network professional
CAB00466;Computer Operator
CAC02683;Computer Programmer 
CAB00467;Computer Programmer/Analyst
CAC02684;Computer Salesman (office based) 
CAC02685;Computer Software Manager
CAC02686;Computer Software Salesman (includes travelling) 
CAC02687;Computer Systems Installer
CAC02688;Computer Wirer
CAC02689;Computer Workshop Technical Engineer
CAC02690;Concert Promoter
CAB00468;Concrete Erector - 40\' up
CAB00469;Concrete Erector - up to 40
CAB00470;Concrete Finisher
CAB00471;Concrete Paving Driver
CAB00472;Concrete Shutterer
CAB00473;Concreter
CAB00474;Conductor - Music Industry - Entertainment
CAB00475;Conductor - Train Crew - Railways
CAC02691;Confectioner
OC3332;Conference and event planner
CAC02692;Conference Organising Assistant 
CAC02693;Conference Organising Manager
CAB00476;Conjurer
OC1323;Construction manager
OC3123;Construction supervisor
CAB00478;Construction Work
OC4222;Contact centre information clerk
OC5244;Contact centre salesperson
CAB00480;Contact Lens Technician
CAB00481;Continuity Clerk
CAB00482;Control Engineer
CAD03072;Control Room Operator
CAD03073;Conveyancer
CAD03074;Conveyer Operator
CAB00508;Cook
CAB00514;Cooper
CAB00515;Coppersmith
CAB00516;Copyholder
CAB00517;Copyholder (Newspapers etc)
CAB00518;Copytaster
CAC02695;Copywriter
CAB00519;Core Borer
CAB00520;Core Builder
CAB00521;Coremaker
CAB00522;Coroner
CAB00524;Correspondent - no overseas travel etc - Journalism
CAB00523;Correspondent - no overseas travel etc - Radio & TV - Entertainment
CAB00526;Correspondent - otherwise - Journalism
CAB00525;Correspondent - otherwise - Radio & TV - Entertainment
CAB00527;Costermonger
CAB00528;Costume Designer
CAC02696;Costumier
CAB00529;Counsellor
CAB00530;Counter Staff - Dry Cleaning
CAB00531;Counter Staff - Laundry
CAB00532;Counter Staff - Post Office/Telecommunications
CAC02697;Couriers
CAB00533;Court Bailiff
CAB00534;Court Usher
CAB00535;Crab Fisherman
OC7549;Craft and related worker  
CAB00542;Crane Erector
CAD03075;Crane Operator
CAD03076;Crane Slinger
OC2659;Creative and performing artist  
CAC02698;Credit Agent
OC3312;Credit and loans officer
CAC02699;Credit Controller
CAB00559;Critic
OC9211;Crop farm labourer
CAD03077;Crop Sprayer - on ground
CAD03078;Crop Sprayer - pilot
CAB00562;Crossing Keeper
CAB00563;Croupier
CAB00566;Crushing Worker
CAB00567;Curator - Zoo
CAC02700;Curator (museum) 
CAB00568;Curer
IQ0107;Currency Trader/Exchange
CAC02701;Customer Care Officer
CAD03079;Customer Service Staff
OC3351;Customs and border inspector
CAD03080;Customs and Excise
CAD03081;Cutter
CAD03082;Cutting Machine Operator
DAC02702;Dairyman
OC7513;Dairy-products maker
DAB00582;Dancer
DAC02703;Dancing Teacher 
DAD03084;Data Controller
DAD03085;Data Inputter
OC2529;Database and network professional  
OC2521;Database designer and administrator
DAD03086;Dealer - money/shares/investment
DAB00585;Debt Collector
DAB00586;Deck Chair Attendant
DAB00587;Deck Hand
DAB00589;Deck Officer
DAC02706;Decorator
OC6223;Deep-sea fishery worker
DAB00593;Delivery Driver
DAB00594;Demolition Worker-no explosives
DAB00595;Demolition Worker-using explosives
DAD03087;Demonstrator 
DAB00598;Dental Assistant
DAC02707;Dental Auxiliary
DAB00599;Dental Consultant
DAB00600;Dental Hygienist
DAB00601;Dental Nurse
DAB00602;Dental Practitioner
DAD03088;Dental Receptionist
DAB00603;Dental Technician
DAB00604;Dental Therapist
DAB00605;Dentist
DAD03089;Department Store Manager 
DAD03090;Department Store worker
DAC02708;Dermatologist
DAD03091;Design cutter
DAB00612;Designer
DAB00616;Detention Centre Warden
DAD03092;Diamond workers
DAB00626;Die Cutter
DAB00627;Die Setter
DAB00629;Diesel Locomotive Fitter
DAC02709;Dietician
DAB00631;Dining Car Attendant
DAD03093;Dinner Lady
DAD03375;Director - Company - admin only
DAD03376;Director - Company - other
DAD03377;Director - Managing - admin only
DAD03378;Director - Managing - other
DAD03379;Director - Musical
DAD03380;Director - Other
DAD03381;Director - Sales - management only
DAD03386;Director - Sales - some selling
FAC02771;Director - TV and film
DAC02710;Director & Medical Consultant
DAB00637;Disc Jockey
DAB00638;Disinfecting Officer
DAB00639;Disinfestor
DAC02711;Dispatch Rider
DAB00640;Dispatcher
OC3254;Dispensing optician
DAC02712;Distiller
DAB00641;Distillery Manager
DAB00642;District Nurse
DAC02713;Diver
DAC02714;Diver (North Sea)
DAB00643;Diver\'s Linesman -Coastal etc
DAB00644;Diver\'s Linesman -Deep Sea
DAB00647;Dock Foreman
DAB00648;Dock Master
DAB00649;Dock Superintendent
DAB00650;Docker
DAB00651;Doctor - Health
DAB00652;Doctor - Merchant Marine
DAC02715;Dog Catcher 
DAB00655;Dogger
DAB00656;Domestic Electrician
OC5152;Domestic housekeeper
DAB00657;Domestic Premises Cleaner
DAB00658;Domestic Supervisor (Hospital)
DAC02716;Domestic Tiler
DAB00659;Donkeyman
DAB00660;Door to Door Salesman
DAD03094;Doorman
DAC02717;Double Glazing - Installer/fitter 
DAC02719;Double Glazing Surveyor 
DAD03095;Drainage Layer/Clearer
DAC02720;Draper
DAB00665;Draughtsman
DAB00666;Drawer (Bar, Plate, Rod, etc)
DAB00667;Drayman
DAB00668;Dredger Driver
DAB00669;Dredgerman
DAB00672;Dresser
DAB00673;Dressmaker
DAD03096;Drier
DAD03097;Driller - offshore
DAD03098;Driller - onshore
DAD03099;Driver - construction
DAD03100;Driver - delivery
DAD03101;Driver - HGV
DAD03102;Driver - industrial plant
DAD03103;Driver - PSV
DAC02724;Driver - refuse
DAC02725;Driver - tractor
OC9332;Drivers of animal-drawn vehicles and machinery
DAB00699;Driving Examiner
DAB00700;Driving Instructor
DAB00701;Drop Ball Operator
DAB00702;Dry Cleaning Machine Operator
DAB00703;Dry Salter
DAB00708;Dustman/Refuse Collector
DAB00710;Dyer
OC2342;Early childhood educator
OC8342;Earthmoving and related plant operator
EAD03104;Ecological Consultant Outside UK
EAD03105;Ecological Consultant UK
EAB00712;Economist
EAD03106;Editor
EAD03107;Editorial Assistant
EAD03108;Education Assistant
OC1345;Education manager
OC2351;Education methods specialist
EAC02729;Educational Advisor 
EAB00715;Effluent Inspector
EAB00716;Electric Logger
OC8212;Electrical and electronic equipment assembler
EAB00717;Electrical Contractor
EAD03109;Electrical Engineer
OC3113;Electrical engineering technician
EAB00722;Electrical Fitter
OC7413;Electrical line installer and repairers
OC7412;Electrical mechanic and fitter
EAB00724;Electrical Wireman
EAD03110;Electrician - offshore
EAD03111;Electrician UK based - domestic
EAD03112;Electrician UK based - industrial
OC2152;Electronics engineer
OC3114;Electronics engineering technician
EAB00736;Electronics Fitter
EAB00737;Electronics Installer
EAB00738;Electronics Mechanic
EAB00739;Electronics Repairer
EAB00740;Electronics Service Mechanic
EAB00741;Electronics Wireman
EAB00742;Electroplater
EAB00743;Electrotyper
OC9629;Elementary worker  
EAB00744;Embalmer
EAD03113;Embassy Employee
EAB00745;Embroiderer
EAC02740;Employment Agency Owner (admin. only)
EAD03114;Employment Agency worker
EAB00746;Enameller
EAB00747;Engine Driver
EAB00748;Engine Tester
EAD03115;Engineer - admin and site visits only
EAD03116;Engineer - admin only
EAD03117;Engineer - heavy manual
EAD03118;Engineer - light manual 
EAC02742;Engineer - offshore
EAD03120;Engineer - sales
EAD03121;Engineer - works at heights over 40 ft
EAB00762;Engineering Fitter
EAB00764;Engineering Technician
EAD03122;Engraver
OC4225;Enquiry clerk
EAB00770;Enrolled Nurse
EAC02746;Entertainer - Entertainment industry
EAC02747;Entertainment Agent - Entertainment industry
EAC02748;Entertainment Manager - Entertainment industry
EAB00771;Entertainments Officer
OC2263;Environmental and occupational health and hygiene professional
OC3257;Environmental and occupational health inspector and associate
OC2143;Environmental engineer
EAC02749;Environmental Health Officer
OC2133;Environmental protection professional
EAB00772;Equestrian Artiste
EAB00773;Equestrianism - Riding Instructor
EAB00774;Equestrianism - Show Jumping
EAB00775;Equipment Cleaner
EAB00776;Erector - Aircraft/Aerospace
EAB00777;Erector - Production Fitting - Metal Manufacture
EAB00778;Escapologist
EAB00779;Estate Agent
EAC02750;Estate Manager - all aspects (no manual work)
EAB00780;Estate Ranger
EAB00781;Estimator
EAC02751;Estimator (mainly office duties) 
EAB00783;Etcher - Pottery Industry
EAB00782;Etcher - Precious Metals, Engraving etc - Metal Manufacture
EAB00784;Etcher - Printing Industry
EAB00785;Etcher (creative)
EAD03124;Examiner - process
EAB00795;Excavator Driver
EAD03125;Exhaust Fitter
EAB00796;Exhausterman
EAC02752;Exhibition Foreman
EAC02753;Exhibition Space Sales Manager
EAB00797;Exhibition Stand Fitter
EAB00798;Explosives Inspector
EAC02754;Export Agent
EAB00800;Extruder
FAD03126;Fabric Designer
FAD03127;Fabricator - welder/fitter
FAD03128;Facilities Assistant
FAB00803;Facilities Procurement Officer
FAC02755;Factory (worker)
FAB00806;Factory Inspector
FAC02756;Factory Manager (mainly admin.)
FAC02757;Fairground Worker
FAC02760;Farm Manager (manual duties)
FAC02761;Farm Manager (no manual duties) 
FAC02762;Farm Owner (manual duties)
FAC02763;Farm Owner (no manual duties)
FAC02764;Farm Worker/Labourer
OC2132;Farming, forestry and fisheries adviser
FAB00811;Farrier
FAB00812;Fashion Model
FAB00813;Fashion Photographer
FAD03129;Fashion Stylist
OC9411;Fast food preparer
FAD03130;Fast Food Restaurant Assistant
FAC02767;Fast Food Restaurant Manager (admin. only)
FAB00814;Fat Extractor Man
FAC02768;Fencing Contractor
FAB00816;Ferryman
OC8151;Fibre preparing, spinning and winding machine operator
IQ0005;Fiduciary/Trustee
OC6111;Field crop and vegetable grower
FAB00821;Fight Arranger
OC4415;Filing and copying clerk
FAB00823;Film Developer
FAB00824;Film Joiner
FAB00825;Film Processor
OC2654;Film, stage and related director and producer
FAB00827;Filmsetting Machine Operator
OC1211;Finance manager
FAC02774;Financial Adviser
OC2413;Financial analyst
OC1346;Financial and insurance services branch manager
FAD03131;Financial Planner/Paraplanner
FAD03132;Finisher - toys and textiles
FAB00832;Fire Eater
FAB00833;Fire Prevention Officer
FAB00835;Firefighter - Fire Service
FAD03133;Fish and chip shop owner
FAD03134;Fish and chip shop worker
FAB00843;Fish Farmer
FAB00848;Fish Preparer
FAB00849;Fisherman
OC9216;Fishery and aquaculture labourer
FAB00850;Fishery Officer/Warden
FAC02779;Fishmonger
FAC02782;Fitness instructor
FAB00852;Fitter - Motor Vehicle & Cycle Industry
FAB00855;Fitter-Assembler
FAB00858;Fixer Mason
FAB00864;Flame cutter - 40 ft +
FAB00865;Flame cutter - under 40 ft
FAD03135;Flight Attendant
FAB00867;Flight Dispatcher
FAD03138;Flight Operations Manager
FAB00869;Flight Planner
